Fonte de Recursos;Despesa;Liquidado
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33678301 - CONTRAP.PECUN.P/PREST.SERV.EM CONCES.ADM.PPP;309408315.87
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33704110 - TRANSF.A INST.MULTIGOVERN.NACIONAIS;97295453.5
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33900810 - AUXILIO-CRECHE E AUXILIO-ESCOLA;13179143.71
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33900841 - AUXILIO FUNERAL - OUTROS PODERES;1555822.51
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33900842 - AUXILIO FUNERAL - PODER EXECUTIVO;30374820.44
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33900844 - AUXILIO FUNERAL - OUTROS PODERES - INATIVOS;363211.29
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33900845 - AUXILIO FUNERAL - PODER EXECUTIVO - INATIVOS;1830565.87
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33900846 - AUXILIO SAUDE - OUTROS PODERES;14670.06
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33901401 - DIARIAS PESSOAL CIVIL;94681133.69
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33901403 - DIARIA ESPEC.JORNADA EXTR. TRAB.PENITENCIARI;37998996.56
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33901404 - DIARIA ESP.JOR.EXTR.TRAB.POL.CIVIL-LC 1280/1;977961.58
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33901416 - DIARIAS NO EXTERIOR;3077255.9
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33901501 - DIARIAS PESSOAL MILITAR;13544195.09
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33901502 - DIARIAS MILITAR-EM SERVS.DE SEGURANCA PESSOA;625338.77
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33901503 - DIARIA ESP JORN EXT TRAB POL. MILITAR-DEJEM;212550311.23
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33901801 - AUXILIO FINANCEIRO A ESTUDANTES;32286172.11
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33901803 - AUX.FIN.A ESTUD.CONCEDIDO PELAS UNIV.PAULIST;105439812.78
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33902001 - AUXILIO FINAN.A PESQUISADORES-PESQ.INDIVIDUA;953964583.44
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33902002 - AUXÝLIO FINAN.A PESQUISADORES-PESQ.COLETIVA;12682.32
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903010 - GENEROS ALIMENTICIOS;523514290.17
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903011 - GENEROS ALIMENTICIOS PPAIS - LEI 14.591/11;10192934.17
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903012 - MATERIAL DE CAMA MESA E BANHO;4824986.5
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903013 - MATERIAL E UTENS.P/REFEITORIOCOPA E COZINHA;9800861.2
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903014 - MATERIAL DE LIMPEZA;8628176.33
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903015 - ARTIGOS DE HIGIENE PESSOAL;49398768.26
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903016 - MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;7809052.89
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903019 - LUBRIFICANTE AUTOMOTIVO;502407.55
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903021 - GASOLINA AUTOMOTIVA;415638.71
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903022 - DIESEL AUTOMOTIVO;2727135.58
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903023 - ETANOL AUTOMOTIVO;1400435.43
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903024 - OUTROS COMBUSTIVEIS E LUBRIFICANTES;47550523.59
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903025 - GASOLINA AUTOMOTIVA-REEMBOLSO;47084865.09
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903026 - CESTAS BASICAS;545124.55
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903027 - ETANOL AUTOMOTIVO-REEMBOLSO;120031554.75
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903028 - DIESEL AUTOMOTIVO-REEMBOLSO;24932918.06
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903029 - OUTROS COMBUSTIVEIS E LUBRIFICANTES-REEMBOLS;6629587.79
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903030 - MEDICAMENTOS E INSUMOS FARMACEUTICOS;898943332.33
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903031 - MATERIAL MEDICOHOSPITALAR E ODONTOLOGICO;349729881.58
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903032 - MATERIAL DE USO LABORATORIAL;96189907.15
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903034 - MATERIAL DE USO VETERINARIO;1935037.24
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903035 - MEDICAMENTOS FORNECIDOS POR DECISÒO JUDICIAL;455330118.65
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903036 - OUT.MAT.CONS.DECORRENTE DE DECISAO JUDICIAL;80967666.94
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903039 - MATERIAL ESPORTIVO E DE LAZER;1933640.3
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903040 - MATERIAL EDUCATIVO E CULTURAL;20448357.96
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903041 - MATERIAL DE ESCRITORIO PAPELARIA E IMPRESSOS;18397968.93
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903042 - MATERIAL PARA FOTOGRAFIA E FILMAGEM;419456.53
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903043 - LIVROS P/BIBLIO.PUBLIMAPASOUTRAS PUBLICACA;16832787.58
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903044 - BANDEIRAS FLAMULAS INSIGNIAS;326494.14
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903050 - PECAS DE REPOSICAO E ACESSORIOS;48856587.11
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903051 - FERRAM.AVULSAS NAO ACION.P/FORCA MOTRIZ;589970
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903052 - MATERIAL P/ CONSERVACAO E MANUT. DE IMOVEIS;14631530.28
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903053 - PECAS E ACESSORIOS PARA VIATURAS POLICIAIS;4040873.51
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903054 - MATERIAL INSTALACAO ELETRICA E ELETRONICA;5798938.17
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903055 - MATERIAL PARA TELECOMUNICACOES;12242620.32
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903060 - MATERIAIS E SUPRIMENTOS DE INFORMATICA;12392879.53
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903061 - PECAS E ACESSOR.E COMPONENTES DE INFORMATICA;11575407.14
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903062 - MUNICOES E EXPLOSIVOS;35528253
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903063 - FARDAMENTOVESTUARIOUNIFORTECIDO AVIAMENT;41104339.3
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903064 - PECAS P/VIATURAS PELO REGIME DE ADIANTAMENTO;5172150.19
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903065 - PECAS E ACESS.P/VIATURAS ESCOLTA/CUSTODEADOS;601304.48
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903066 - MATERIAL PROT.SEGUR.SOCORRO E SOBREVIVENCIA;13769939.69
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903080 - ANIMAIS PARA ABATEEXPERIMENTO E SEMEM;335651.66
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903081 - ALIMENTOS PARA ANIMAIS;9699575.42
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903082 - SEMENTES E MUDAS DE PLANTAS;708813.73
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903090 - OUTROS MATERIAIS DE CONSUMO;63031062.34
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903101 - PREMIO EM PECUNIA;45542050.4
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903102 - OUTRAS PREMIACOES;200032.61
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903295 - MATERIAL OU BEM PARA DISTRIBUICAO GRATUITA;18001236.37
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903340 - REGIME DE QUILOMETRAGEM;1476753.15
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903342 - PASSAGENS AEREAS EXERCICIO ANTERIOR.;15593392.29
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903343 - LOCACAO DE VEICULOSAERONAVES E OUTROS;79663726.15
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903344 - VALE-TRANSPORTE;56401239.99
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903345 - OUTRAS DESP.C/TRANSPORTES E LOCOMOCAO;67277537.97
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903346 - LOCOMOCAO DE SERVIDORES;18427016.8
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903347 - TRANSPORTE ESCOLAR;115971960.59
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903501 - OUTROS SERV.CONSULTORIAASSESS.E AUDITORIA;10520017.36
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903503 - SERVICOS DE CONSULTORIA-PESSOA FISICA;645896.96
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903504 - SERVICOS DE CONSULTORIA-PESSOA JURIDICA;592800.83
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903505 - SERVICOS DE CONSULTORIA-ORGANISMO INTERNACIO;2203022.09
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903506 - ASSESSORIA DE IMPRENSA E COMUNICACAO;18530294.4
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903507 - AUDITORIA EXTERNA;127241.66
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903509 - CONSULTORIA TECNO.DA IMFORMACÒO-PJ;22983.41
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903512 - ENCARG.SOCIAIS E OBRIG.FISCAIS AUDIT/CONS.;542677.22
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903603 - CONDOMINIO;264880
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903604 - MAO DE OBRA DE REEDUCANDOS;7634256.63
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903611 - OUTRAS REMUNERACOES DE SERVICOS PESSOAIS;69098762.95
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903612 - ENCARGOS SOCIAIS E OBRIGACOES FISCAIS;5949608.38
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903613 - ESTAGIARIOS DIRETAMENTE CONTRATADOS;23920772.46
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903614 - MONITORES FISCAIS E EXAMINADORES;6541429.71
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903616 - AJUDA DE CUSTO A COLABORADORES EVENTUAIS;2935022.43
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903619 - HONORARIOS ADVOCAT. ASSIST. JUDICIARIA COMPL;6000
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903622 - MANUT.E CONSERV. DE BENS IMOVEIS;196432.18
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903623 - JETON;159412.03
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903624 - BOLSA PARA MEDICOS RESIDENTES;221260125.56
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903625 - CURSOS PALESTRAS;11646.8
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903626 - SERVICOS TECNICOS E ESPECIALIZADOS;3077395.91
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903628 - HONORARIOS DE CAMARA DE ARBITRAGEM;429715
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903631 - SERVICOS DE APOIO AO ENSINO;888867.68
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903632 - MANUT.E CONSERV.DE EQUIP.DE PROCES.DE DADOS;5404
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903633 - SERVIþOS TÚCNICOS DE PROFISSIONAIS DE TI;47595.73
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903673 - FORNEC.ALIMENTACAO PREPARADA-OUTROS;785
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903691 - LOCACAO DE IMOVEIS;31555445.81
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903699 - SERVICOS DIVERSOS DE CONSERVACAO E MANUTENCA;7022.63
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903795 - SERVICOS DE VIGILANCIA;537483152.07
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903796 - SERVICOS DE LIMPEZA;647433835.51
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903799 - OUTROS SERVICOS;101272522.05
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903903 - CONDOMINIOS;19860606.12
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903906 - VALE-REFEICAO/ALIMENT. A SERV/EMPREGADOS;1322264077.58
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903907 - SERV.DE FORNEC.E DISTRIBUICAO DE LEITE;96557608.46
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903912 - SERV.PROGRAMAS E APLIC.INFORMATICA TRANSF88;13411.25
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903914 - EXAMES LABORATORIAIS;24745482.35
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;33903915 - LOC.DE MAQ. REPROGRAFICAS S/MAO DE OBRA;39062271.88
